Timestamp,¿Con qué genero te identificas?,¿Qué edad tenés?,¿Dónde vivís?,¿Cuál es el principal uso que le das a tu reloj inteligente?,¿Cuántos días utilizas alguna funcionalidad de tu reloj inteligente?,¿Cuál es la marca de tu reloj inteligente?,¿Cuáles son las funciones que utilizas en tu reloj inteligente?,¿Qué funciones utilizas para realizar un seguimiento con tu reloj inteligente?,¿Qué actividades deportivas seguís con tu reloj inteligente?
1/26/2024 15:20:29,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Visualización de la hora","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Natación"
1/26/2024 15:23:37,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Alarma, Cámara, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música","Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de agua bebida",Caminata
1/26/2024 15:24:45,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de salud,6,Samsung,"Seguimiento de múltiples deportes, Alarma, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Monitor de sueño, Control de estrés","Caminata, Natación"
1/26/2024 15:26:59,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Seguimiento de múltiples deportes, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Distancia","Caminata, Gimnasio"
1/26/2024 15:27:23,Masculino,Más de 66,América Central y Sudamérica,Seguimiento de entrenamiento,5,Generic,Llamadas telefónicas,Seguimiento de múltiples deportes,Caminata
1/26/2024 15:31:44,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de salud,3,Xiaomi,"Notificaciones, Visualización de la hora","Monitor de ritmo cardíaco, Monitor de sueño",Caminata
1/26/2024 15:33:38,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,5,Xiaomi,"Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora, Email",Monitor de ritmo cardíaco,Ninguna 
1/26/2024 15:41:35,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de peso","Caminata, Natación"
1/26/2024 15:53:49,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,1,Samsung,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés",Caminata
1/26/2024 16:01:04,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Samsung,"Seguimiento de múltiples deportes, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de peso, Control de estrés","Caminata, Correr, Tenis"
1/26/2024 16:01:34,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,2,Xiaomi,"Seguimiento de múltiples deportes, Notificaciones, Música","Seguimiento de múltiples deportes, Calorias",Natación
1/26/2024 16:03:55,Masculino,26 - 35,Europa,Seguimiento de entrenamiento,7,Samsung,"Seguimiento de múltiples deportes, Notificaciones, Pagos sin contacto, Recordatorio de sedentarismo","Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Ciclismo"
1/26/2024 16:06:10,Femenino,56 - 65,América Central y Sudamérica,Seguimiento de salud,5,Generic,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora, Música","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Pilates"
1/26/2024 16:07:27,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,5,Samsung,"Alarma, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Recordatorio de sedentarismo",Monitor de temperatura,Ninguna
1/26/2024 16:07:57,Femenino,26 - 35,Europa,Acceso directo a las funcionalidades del celular,7,Fitbit,"Seguimiento de múltiples deportes, Notificaciones, Visualización de la hora, Pagos sin contacto, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual","Caminata, Correr"
1/26/2024 16:11:58,Masculino,36 - 45,América Central y Sudamérica,Todas las opciones ,5,Huawei ,"Alarma, Notificaciones, Mensajes de texto, Visualización de la hora, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo, Entrenamiento libre "
1/26/2024 16:15:11,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Generic,"Alarma, GPS, Notificaciones, Visualización de la hora, Email, Música","Calorias, Distancia, Monitor de ritmo cardíaco","Caminata, Correr, Escalada"
1/26/2024 16:56:25,Masculino,36 - 45,Europa,Seguimiento de salud,0,Generic,Recordatorio de sedentarismo,"Monitor de presión arterial, Calorias","Caminata, Correr"
1/26/2024 16:59:49,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Samsung,"Alarma, GPS, Notificaciones, Mensajes de texto, Visualización de la hora, Pagos sin contacto, Control de voz","Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo"
1/26/2024 17:00:39,Prefiero no decir,36 - 45,África,Ver la hora,1,Generic,La hora,Que me de la hora en la oscuridad,Controlar la hora
1/26/2024 17:03:40,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,6,Google,"Seguimiento de múltiples deportes, Alarma, Cámara, Llamadas telefónicas, Mensajes de texto, Pagos sin contacto, Email, Música, Botón SOS, Control de voz","Seguimiento de múltiples deportes, Distancia, Monitor de sueño","Caminata, Correr, Ciclismo"
1/26/2024 17:06:16,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,1,Xiaomi,Visualización de la hora,Distancia,Ciclismo
1/26/2024 17:22:47,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,4,Samsung,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Visualización de la hora, Música","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de peso, Monitor de temperatura","Caminata, Correr, Ciclismo"
1/26/2024 17:32:09,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de salud,3,Xiaomi,"Visualización de la hora, Recordatorio de sedentarismo","Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Control de estrés, Saturación de Oxigeno ","Caminata, Ciclismo"
1/26/2024 17:33:55,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Notificaciones, Visualización de la hora, Música, Calorías quemadas, pasos ","Calorias, Distancia, Monitor de ritmo cardíaco","Caminata, Correr, CrossFit "
1/26/2024 17:39:54,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Apple,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Música","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo"
1/26/2024 17:48:00,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Visualización de la hora, Pagos sin contacto, ","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Correr, Ciclismo"
1/26/2024 18:54:25,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Seguimiento de múltiples deportes, Notificaciones, Visualización de la hora, Email, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Distancia",Ciclismo
1/26/2024 23:27:28,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música, Recordatorio de sedentarismo, Control de voz",Monitor de agua bebida,
1/27/2024 0:43:00,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de salud,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Visualización de la hora, Recordatorio de sedentarismo","Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual, Monitor de peso, Control de estrés","Caminata, Correr"
1/27/2024 10:51:06,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Samsung,"Alarma, Notificaciones, Recordatorio de sedentarismo, Control de voz",Distancia,Caminata
1/27/2024 12:14:09,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,4,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Email, Slack","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Ciclismo, Natación"
1/29/2024 14:53:16,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,4,Apple,"Alarma, Notificaciones, Visualización de la hora, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco","Correr, Entrenamiento de fuerza"
1/29/2024 15:14:46,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,0,Apple,"Alarma, GPS, Notificaciones, Visualización de la hora, Email, Control de voz","Monitor de presión arterial, Monitor de ritmo cardíaco",
1/29/2024 21:11:48,Femenino,26 - 35,América Central y Sudamérica,Las dos primeras opciones ,7,Apple,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Mensajes de texto, Visualización de la hora, Email, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Salud menstrual","Caminata, Funcional, pilates "
1/30/2024 10:21:00,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,Llamadas telefónicas,Monitor de ritmo cardíaco,Caminata
1/30/2024 10:26:22,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"GPS, Notificaciones, Visualización de la hora",Distancia,Correr
1/30/2024 10:27:03,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,4,Garmin,"Seguimiento de múltiples deportes, GPS, Notificaciones, Música","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Control de estrés","Correr, Ciclismo"
1/30/2024 10:31:04,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Apple,"Seguimiento de múltiples deportes, Alarma, Cámara, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Pagos sin contacto, Música, Control de voz","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Monitor de ritmo cardíaco, Monitor de temperatura","Caminata, Ciclismo"
1/30/2024 10:34:05,Masculino,15 - 25,América Central y Sudamérica,Seguimiento de entrenamiento,2,Xiaomi,"Seguimiento de múltiples deportes, Visualización de la hora","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés",Gimnasio 
1/30/2024 10:34:07,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,6,Xiaomi,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Mensajes de texto, Visualización de la hora, Música","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Correr, Ciclismo, Ejercicios de fuerza"
1/30/2024 10:34:23,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de temperatura","Caminata, Correr, Ciclismo, Escalada"
1/30/2024 10:34:50,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,6,Amazfit,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco",Cross Training
1/30/2024 10:34:52,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia","Caminata, Ciclismo"
1/30/2024 10:36:06,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,3,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo, Natación"
1/30/2024 10:38:01,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,6,Garmin,"Seguimiento de múltiples deportes, GPS, Notificaciones, Llamadas telefónicas, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de temperatura",Ciclismo
1/30/2024 10:40:00,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Apple,"Seguimiento de múltiples deportes, Alarma, GPS","Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco","Ciclismo, Escalada"
1/30/2024 10:43:39,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,6,Garmin,"Seguimiento de múltiples deportes, GPS","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Correr, Ciclismo"
1/30/2024 10:46:17,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,3,Garmin,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de temperatura",Ciclismo
1/30/2024 10:46:43,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,3,Xiaomi,"Seguimiento de múltiples deportes, GPS","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo"
1/30/2024 10:48:00,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,5,Suunto,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Correr, Ciclismo, Escalada"
1/30/2024 10:48:56,Femenino,15 - 25,América Central y Sudamérica,Seguimiento de salud,2,Garmin,"Seguimiento de múltiples deportes, GPS","Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de temperatura","Caminata, Ciclismo, Ski"
1/30/2024 10:50:50,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de salud,5,Xiaomi,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco","Caminata, Ciclismo"
1/30/2024 10:50:56,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de salud,7,Xiaomi,"GPS, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Ciclismo, Escalada"
1/30/2024 10:54:31,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de salud,4,Xxx,"Seguimiento de múltiples deportes, Llamadas telefónicas, Visualización de la hora","Monitor de presión arterial, Distancia","Caminata, Correr, Ciclismo"
