Timestamp,¿Con qué genero te identificas?,¿Qué edad tenés?,¿Dónde vivís?,¿Cuál es el principal uso que le das a tu reloj inteligente?,¿Cuántos días utilizas alguna funcionalidad de tu reloj inteligente?,¿Cuál es la marca de tu reloj inteligente?,¿Cuáles son las funciones que utilizas en tu reloj inteligente?,¿Qué funciones utilizas para realizar un seguimiento con tu reloj inteligente?,¿Qué actividades deportivas seguís con tu reloj inteligente?
1/30/2024 10:56:33,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,5,Samsung,Seguimiento de múltiples deportes,"Calorias, Distancia, Monitor de ritmo cardíaco","Natación, Gym"
1/30/2024 10:57:27,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,5,Samsung,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco","Natación, Gym"
1/30/2024 11:05:59,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Seguimiento de múltiples deportes, Notificaciones","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de temperatura",Ciclismo
1/30/2024 11:08:46,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Seguimiento de múltiples deportes, Alarma, GPS","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de temperatura","Correr, Ciclismo, Escalada"
1/30/2024 11:20:59,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de salud,7,Xiaomi,"Alarma, Notificaciones, Visualización de la hora","Monitor de ritmo cardíaco, Monitor de sueño",Ciclismo
1/30/2024 11:25:01,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,3,Garmin,"Seguimiento de múltiples deportes, GPS, Notificaciones, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco","Correr, Ciclismo, Natación"
1/30/2024 11:36:16,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,3,Apple,"Seguimiento de múltiples deportes, Alarma, Mensajes de texto, Visualización de la hora, Música","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo"
1/30/2024 11:37:36,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,3,Apple,"Seguimiento de múltiples deportes, Alarma, GPS, Llamadas telefónicas, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo"
1/30/2024 11:38:19,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,3,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de temperatura","Correr, Natación"
1/30/2024 11:44:44,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Control de estrés","Caminata, Ciclismo, Funcional"
1/30/2024 11:48:17,Masculino,36 - 45,América Central y Sudamérica,"Seguimiento de salud, datos atmosfericos, livetracking ",7,Garmin,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora, Datos atmosfericos, salud","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr, Ciclismo, Escalada, Natación, Senderismo, esqui de travesia"
1/30/2024 12:27:05,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Garmin,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo, Moto Enduro"
1/30/2024 12:28:23,Femenino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Garmin,"Alarma, Cámara, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música","Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Salud menstrual",Caminata
1/30/2024 12:32:44,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,1,Garmin,"Seguimiento de múltiples deportes, GPS","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco","Caminata, Correr, travesía splitboard"
1/30/2024 12:38:18,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Apple,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Pagos sin contacto, Email, Recordatorio de sedentarismo","Monitor de presión arterial, Monitor de sueño","Caminata, futbol"
1/30/2024 12:38:50,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,2,Generic,Seguimiento de múltiples deportes,Distancia,Ciclismo
1/30/2024 12:47:00,Femenino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Fitbit,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Música","Seguimiento de múltiples deportes, Distancia, Monitor de sueño","Caminata, Correr"
1/30/2024 13:09:03,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Alarma, GPS, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés, Monitor de temperatura","Caminata, Correr"
1/30/2024 13:12:57,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Alarma, Cámara, Notificaciones",Monitor de sueño,Caminata
1/30/2024 13:18:32,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,"Seguimiento de múltiples deportes, Alarma, Cámara, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Monitor de ritmo cardíaco",Caminata
1/30/2024 13:25:35,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,Notificaciones,Monitor de peso,Caminata
1/30/2024 13:32:22,Masculino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Seguimiento de múltiples deportes, GPS, Notificaciones, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Monitor de sueño",Caminata
1/30/2024 13:33:43,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de salud,5,Xiaomi,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Música","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Correr"
1/30/2024 14:01:51,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,3,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco","Correr, Ciclismo"
1/30/2024 14:02:02,Masculino,15 - 25,América Central y Sudamérica,Seguimiento de entrenamiento,4,IGPSPORT ,"Seguimiento de múltiples deportes, GPS","Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco",Ciclismo
1/30/2024 14:09:57,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Cámara, Notificaciones, Llamadas telefónicas, Visualización de la hora, Música, Recordatorio de sedentarismo, control de estres, sueño, presion, frecuencia cardiaca","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Control de estrés, Monitor de temperatura","Caminata, Correr, Ciclismo"
1/30/2024 14:42:31,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,5,Coros,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo"
1/30/2024 15:06:48,Masculino,36 - 45,América Central y Sudamérica,No tengo reloj inteligente ,0,Sinrelojinteligent,Alarma,Seguimiento de múltiples deportes,Buceo
1/30/2024 16:06:31,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de salud,7,Fitbit,"Seguimiento de múltiples deportes, GPS, Pagos sin contacto, Música, Recordatorio de sedentarismo","Monitor de presión arterial, Calorias, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Monitor de peso, Mindfulness, Control de estrés",
1/30/2024 16:17:47,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,6,Garmin,"Seguimiento de múltiples deportes, Música","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr, Gym"
1/30/2024 16:35:16,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,4,Garmin,"Seguimiento de múltiples deportes, GPS","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo"
1/30/2024 19:21:30,Femenino,46 - 55,América Central y Sudamérica,Seguimiento de salud,2,Xiaomi,Mensajes de texto,Calorias,Caminata
1/30/2024 20:07:14,Femenino,46 - 55,América Central y Sudamérica,Seguimiento de salud,3,Generic,"Notificaciones, Recordatorio de sedentarismo","Monitor de presión arterial, Monitor de agua bebida, Salud menstrual",Caminata
1/30/2024 20:14:28,Femenino,15 - 25,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,3,Samsung,"Seguimiento de múltiples deportes, Mensajes de texto, Visualización de la hora, Recordatorio de sedentarismo, Botón SOS","Salud menstrual, Monitor de peso",Correr
1/30/2024 21:29:30,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Coros ,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Correr, Ciclismo, Escalada"
1/30/2024 21:37:12,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,6,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco","Caminata, Ciclismo"
1/30/2024 21:41:00,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,5,Apple,"Seguimiento de múltiples deportes, GPS, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Correr, Ciclismo"
1/30/2024 22:13:33,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,4,Google,"Alarma, Notificaciones, Visualización de la hora, Email",Mindfulness,Caminata
1/30/2024 22:30:53,Femenino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,4,Samsung,"Alarma, GPS, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Calorias, Monitor de sueño, Monitor de agua bebida, Salud menstrual, Control de estrés","Caminata, Ciclismo"
1/30/2024 23:12:44,Masculino,26 - 35,América Central y Sudamérica,"Más que nada por la hora , para no tener que estar viendo el celular siempre ",3,Xiaomi,Ver la hora,Distancia,Caminata
1/30/2024 23:13:55,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,3,Generic,"Notificaciones, Mensajes de texto, Visualización de la hora, Música","Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco",Caminata
1/31/2024 0:06:48,Femenino,26 - 35,América Central y Sudamérica,Reloj,7,Samsung,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora","Seguimiento de múltiples deportes, Distancia",Caminata
1/31/2024 4:03:33,Masculino,46 - 55,Europa,Seguimiento de entrenamiento,7,Coros,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Visualización de la hora, Seguimiento de la calidad del sueño y recuperación ","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Saturación de oxígeno ","Caminata, Correr, Ciclismo, Natación, Esquí, gimnasio "
1/31/2024 10:21:49,Masculino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Generic,"Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora","Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de agua bebida",Ciclismo
1/31/2024 12:46:33,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de salud,3,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Monitor de presión arterial, Altitud, Monitor de ritmo cardíaco, Monitor de temperatura","Caminata, Ciclismo"
1/31/2024 13:10:27,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Seguimiento de múltiples deportes, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Salud menstrual, Control de estrés","Caminata, Correr, Escalada, "
1/31/2024 13:13:47,Masculino,36 - 45,Europa,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Alarma, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo"
1/31/2024 14:05:49,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de agua bebida","Caminata, Correr, Ciclismo, Strong Nation"
1/31/2024 15:55:45,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,5,Samsung,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de peso","Caminata, Correr, Escalada"
1/31/2024 17:00:25,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,6,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Ciclismo"
2/1/2024 8:53:16,Masculino,56 - 65,América Central y Sudamérica,idem salud,6,También tengo Suunto,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco","Ciclismo, Natación, ski montana"
2/1/2024 9:28:16,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,5,Samsung,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño",Caminata
2/1/2024 9:58:27,Femenino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Generic,"Alarma, Cámara, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Música","Monitor de presión arterial, Calorias, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual",Caminata
2/1/2024 12:20:37,Femenino,36 - 45,Europa,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora","Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual",Pasos
2/2/2024 2:53:34,Femenino,36 - 45,Europa,Seguimiento de entrenamiento,1,Garmin,"Seguimiento de múltiples deportes, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr"
2/2/2024 3:08:08,Femenino,36 - 45,Europa,Seguimiento de entrenamiento,7,Huawei,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Control de voz","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr, Patinar "
2/3/2024 12:05:22,Femenino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Google,"Alarma, Cámara, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música, Recordatorio de sedentarismo, Botón SOS","Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Monitor de peso, Control de estrés, Monitor de temperatura",Caminata